,track_name,album,track_id,artist,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
46,Declaració De Principis,Les Ratlles Del Banyador,5Fyer3Bfi1oRz43IZ81atV,La iaia,280766,34,0.741,0.866,1,-6.824,1,0.0526,0.617,0.127,0.131,0.589,132.03
47,20 de abril,Cuentame Un Cuento,7ifOnwJC0oH7cfbJQbUye1,Celtas Cortos,235333,56,0.611,0.866,0,-5.135,1,0.0285,0.0274,2.89e-05,0.278,0.826,114.016
48,Para Quedarte,De Pana y Rubí,4a4ixrdj73Zpan02jBrmn3,El Kanka,276960,46,0.82,0.339,0,-10.739,1,0.0544,0.848,0.0,0.349,0.744,124.42
49,Boogaloo A.K.A. Tarantula,Kase.O Jazz Magnetism,4wFASs8o9DQlnGXlK6Hgxw,Kase.O,221786,48,0.815,0.538,5,-11.888,0,0.0918,0.676,0.0,0.156,0.716,111.673
50,Corazón de Goma,Hemos Visto Cosas Que Harían Vomitar a un Murciélago,3oKiGwe2vFD8raLa9dHVy1,Estricnina,249349,32,0.791,0.716,11,-7.531,0,0.169,0.386,0.0,0.131,0.804,94.157
51,Bambino,Bambino,0k4RVdTt7e9nfUUh4CWva7,Recycled J,156000,43,0.66,0.773,4,-6.193,1,0.321,0.354,0.0,0.0763,0.288,179.94
52,Stupid Love Story,Apa y Can,1VIQPJc3fGfX23S6SD651l,Canserbero,282697,70,0.747,0.534,8,-8.635,1,0.386,0.504,0.0,0.615,0.569,93.477
53,Javat y Kamel 2011,Kase.O Jazz Magnetism,0PVV3eRcBaQsXJaR0uy446,Kase.O,386306,40,0.586,0.64,7,-9.055,0,0.28,0.329,0.0,0.101,0.927,90.799
54,He Visto el Futuro,Barroco,0M3koNAo1Uf8h5V1Q5fVJW,Duo Kie,191973,0,0.573,0.895,10,-4.797,0,0.376,0.188,3.54e-05,0.41,0.961,182.62
55,Otra Vez en Tus Manos,Mar Etílico,2mVyekEG6ftebCLJ7oioB1,Gérmenes,153320,42,0.638,0.803,8,-10.754,1,0.0686,0.00961,0.000294,0.426,0.871,93.935
56,Los Tontos - Live at NPR's Tiny Desk,El Madrileño (Live at NPR's Tiny Desk),7s3ww2P0ShTAFLaVNVd7Rg,C. Tangana,251558,53,0.628,0.683,9,-8.615,0,0.282,0.558,0.0,0.337,0.396,107.596
57,Tributo a Mr. Scarface 2011,Kase.O Jazz Magnetism,5s6TZgmQfxhtCHezhK8nJ1,Kase.O,226826,37,0.54,0.485,1,-10.207,1,0.363,0.424,1.5e-06,0.154,0.626,105.388
58,Cypher #1 (Reggae Cypher),Cypher #1 (Reggae Cypher),7dTfsmUdPP1zZwWyXIOfXh,Pure Negga,228000,9,0.605,0.788,10,-4.468,0,0.32,0.262,0.0,0.0725,0.821,89.014
59,It's All About,It's All About,0XO3RZYuYKsz0cORoVlQOB,Rooftime,195483,57,0.894,0.409,5,-7.609,0,0.0477,0.0914,0.0125,0.313,0.69,124.007
60,Hello,The Cat Empire,1pXtUVmSS3Aky3j6nQ4sQT,The Cat Empire,224133,51,0.716,0.748,9,-6.426,1,0.151,0.333,6.54e-06,0.0899,0.76,110.015
61,Mood (feat. iann dior),Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,24kGoldn,140525,13,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989
62,CAMBIAR EL MUNDO,Tripi Hapa,7EXYXATwUW1KeqlcOgnqqH,Bejo,167710,0,0.674,0.841,2,-5.253,1,0.197,0.565,0.0,0.119,0.753,82.911
63,Primer movimiento: Después de la catarsis,Mayéutica,5WWxj79hWjVq0wIBDCIw7T,Robe,537226,50,0.373,0.486,11,-14.838,0,0.0731,0.0806,0.00124,0.16,0.236,116.792
64,Stop The Clocks,Heavenly Hell,0iM4pwkaMrJAGKHVcavitw,L.A.,200400,56,0.339,0.516,1,-7.102,1,0.033,0.00343,0.0161,0.0843,0.178,203.599
65,Volviendo a casa,Material inflamable,1HcEZlTASPN1lpz4EUTH60,Gritando en Silencio,216386,17,0.461,0.891,6,-4.122,1,0.0475,0.00034,0.0,0.112,0.397,153.962
66,Senderos a Roma,Viridarquia,5e52T2IWnMrcInh5CpW2Po,Lágrimas De Sangre,294013,42,0.562,0.815,7,-6.205,1,0.248,0.218,0.0,0.103,0.618,189.783
67,HIPÓCRITA,Tripi Hapa,3pTm2OqNHA1rJIsKVWfZEl,Bejo,133894,0,0.66,0.955,7,-3.537,1,0.23,0.00493,0.0,0.207,0.523,94.62
68,Tú Me Dejaste De Querer,El Madrileño,5ddFjrPG8NgQQ6xlOQIVd2,C. Tangana,198493,74,0.823,0.723,4,-4.778,0,0.229,0.311,0.00315,0.0998,0.505,83.97
69,A la luz de una sonrisa,Contratiempo,5Fronw7eoL0huzCEYSZe80,Gritando en Silencio,227093,42,0.65,0.883,3,-4.6,1,0.0803,0.133,0.0,0.0787,0.693,89.945
70,La vénus du mélo,Raconte-moi... (Bonus Edition),7tk8lPTwBw2CYefi2QWR2d,Stacey Kent,227376,55,0.798,0.345,2,-12.805,1,0.0484,0.763,1.65e-06,0.115,0.486,124.164
71,EL GENUINO,Tripi Hapa,5jqcyx6mD9ZtFhKL2g2uYE,Bejo,63673,0,0.661,0.91,1,-3.496,1,0.329,0.232,0.0,0.265,0.716,97.845
72,Interludio,Mayéutica,4smdWRLMv9hhhZbLnJ63ds,Robe,191971,50,0.648,0.226,7,-17.069,1,0.0395,0.189,0.000166,0.172,0.496,114.092
73,JOVEN PARA SIEMPRE,JOVEN PARA SIEMPRE,2hSBhzE4hbWRWl4PLMiJsu,Funzo & Baby Loud,169374,55,0.537,0.904,5,-5.868,1,0.106,0.0399,0.0,0.393,0.75,179.961
74,Al filo,Al filo,1zEEcd2XToLY6WnbSATEYE,FERNANDOCOSTA,255824,0,0.703,0.721,2,-7.802,1,0.362,0.106,0.0,0.0953,0.484,90.899
75,Bloom,Horizons,6fpIcWxRGGqa681gUHJonh,Surfaces,183608,48,0.872,0.561,1,-6.673,1,0.0328,0.242,8.01e-06,0.0452,0.68,114.94
76,¡Qué borde era mi valle!,Para todos los públicos,7LCUy5LoikLKEBeyVqCd3s,Extremoduro,234167,35,0.562,0.902,4,-7.528,0,0.0536,0.0121,0.136,0.415,0.544,111.127
77,Comerte Entera,El Madrileño,6RUr6r5OexrMOYDtgu1QtS,C. Tangana,174480,63,0.824,0.399,2,-7.299,0,0.106,0.516,1.91e-06,0.243,0.345,124.085
78,Still Young,Steal the Light,4q7klA9ggWknZDhHhz9XYp,The Cat Empire,258573,49,0.613,0.762,11,-4.679,1,0.0359,0.00727,0.0,0.188,0.743,149.225
79,Loving,Surf,24mEcNnglAOmHEvzQmrZaY,Surfaces,253698,49,0.493,0.589,9,-6.478,1,0.178,0.544,0.0,0.277,0.21,161.884
80,Paseo,Voces de Ultrarumba,6pWeJvzpQR1ihiUSJklOzD,Estopa,216440,60,0.726,0.55,0,-9.676,1,0.0445,0.432,0.0,0.155,0.84,102.021
81,WITHOUT YOU,F*CK LOVE (SAVAGE),27OeeYzk6klgBh83TSvGMA,The Kid LAROI,161384,79,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005
82,Tercer movimiento: Un instante de luz,Mayéutica,3jwMdFuOiSCznlA8qrFvt3,Robe,634172,50,0.511,0.732,2,-13.384,1,0.0841,0.022,5.85e-05,0.278,0.288,92.458
83,Bécquer (Con Ara Malikian),Divertimentos (Vol.2),5Qrp8hUGZiEyLGxNj5t1dK,Kase.O,239993,40,0.509,0.653,0,-7.763,0,0.312,0.213,0.0,0.203,0.243,85.477
84,Matilda,An Awesome Wave,1bsAHy2mQkv9uLVJkqD7sf,alt-J,228706,3,0.58,0.666,2,-9.204,1,0.0298,0.788,0.385,0.116,0.279,147.975
85,La Verdad,La Verdad,5DrikCrFK2V1F7NtEBqSXO,Siloé,157964,58,0.611,0.624,9,-4.349,1,0.0349,0.734,0.0,0.0629,0.523,117.143
86,"No Woman, No Cry - Live At The Lyceum, London/1975",Legend - The Best Of Bob Marley And The Wailers,5rPnv4gceOGKCqbN06F2aJ,Bob Marley & The Wailers,428360,58,0.641,0.657,1,-9.354,1,0.0604,0.276,0.0261,0.713,0.602,78.132
87,A Solas Con un Ritmo 2011,Kase.O Jazz Magnetism,3aQTKiafwWf1wRx5ggiHv7,Kase.O,335973,43,0.548,0.63,4,-9.937,0,0.124,0.325,0.0,0.122,0.532,93.538
88,Small Worlds,Swimming,4gT3mNJA8lnlkYFqGZ8IA2,Mac Miller,271733,77,0.516,0.546,5,-9.105,1,0.249,0.814,4.5e-06,0.0995,0.515,78.267
89,GUAGUAGUA,Tripi Hapa,40tPsEIv5jBw3ZCJSMnAoP,Bejo,197333,0,0.689,0.935,10,-1.46,0,0.236,0.0762,0.0,0.348,0.644,90.102
90,Cuarto movimiento: Yo no soy el dueño de mis emociones,Mayéutica,6byvMlUkFmNZIl8aprXRhL,Robe,891152,49,0.535,0.704,2,-13.44,1,0.0465,0.00906,0.00195,0.112,0.554,97.017
91,Mc Escandaloso Xposito,Kase.O Jazz Magnetism,3xl7FVmcIyZHQEISkNnnEB,Kase.O,141453,40,0.726,0.482,6,-11.024,0,0.22,0.0585,0.0,0.0421,0.929,177.968
92,Chapter 7 (feat. Ty),Chapter 7,04fnzAJxtQZFVbn8N3XrQm,Ezra Collective,287320,46,0.787,0.523,7,-8.628,0,0.0603,0.205,0.0492,0.115,0.803,105.041
93,CINCUENTA ESTRELLAS MICHELÍN,Tripi Hapa,30pLcJ8aS1foFCFT68Z0HA,Bejo,219428,0,0.404,0.846,6,-6.548,0,0.133,0.767,0.000882,0.159,0.792,137.627
94,The Scientist,A Rush of Blood to the Head,75JFxkI2RXiU7L9VXzMkle,Coldplay,309600,85,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277
95,Quieres 2011 Con Kami,Kase.O Jazz Magnetism,4BeT1FiBrhwXP0g8xSnUWL,Kase.O,253333,39,0.66,0.464,1,-9.829,1,0.16,0.741,0.0,0.205,0.711,90.962
96,The Lost Song,The Cat Empire,72fkIO8SD7tKZ9jiiF0Jyu,The Cat Empire,195800,49,0.622,0.525,2,-9.854,0,0.0392,0.171,0.00144,0.0855,0.304,78.446
97,Respect da Woman - Acoustic,Way Of My Life,5DT3cFIhE6hE8kGVjgFqSB,Lidiop,252073,0,0.763,0.471,7,-7.282,1,0.165,0.799,0.0,0.12,0.833,81.622
98,Filosofía y Letras,Vivir para Contarlo,5ZEYoO7GqDlHHD08aYUkHj,Violadores Del Verso,318746,44,0.892,0.87,1,-5.378,1,0.208,0.198,0.0,0.199,0.925,93.009
99,MIERDA,Tripi Hapa,3ofAA4Af9EdvSLEtzFjvXt,Bejo,230110,0,0.626,0.936,0,-2.346,0,0.248,0.475,0.0,0.125,0.848,167.978
